key,"GDP per capita (US$, World Bank)",Life expectancy at birth (years)
TTO,20750.5202434652,73.331
TUN,3707.29283414381,76.05
TUR,10897.8397861365,77.591
TUV,5414.74642912412,66.852
TZA,1207.52062988281,66.879
UGA,963.067314117178,67.675
UKR,4199.6708984375,72.658
URY,21009.2883798725,76.468
USA,78008.6895811877,77.4341463414634
UZB,2698.60262953369,72.147
VCT,9693.55867833025,71.191
VEN,3155.04190923584,72.566
VIR,44320.909185774,80.319512195122
VNM,4147.69777213621,74.502
VUT,3679.53524327491,71.302
WSM,4132.44717734444,71.55
XKX,5298.1473871027,77.623
ZAF,6534.24867783397,65.454
ZMB,1447.12310138035,65.279
ZWE,2536.40197087505,62.36
