date,"M2 growth, YoY % (18m earlier)","CPI inflation, YoY %"
1961-07-01,4.047452896022308,1.25211505922167
1961-08-01,3.7191518943343826,1.1144883485309176
1961-09-01,3.4923928077455146,1.249577845322536
1961-10-01,3.4470872113064432,0.7731092436974896
1961-11-01,2.977412731006157,0.671591672263272
1961-12-01,2.788167290037391,0.6709158000671067
1962-01-01,3.0149051490514944,0.6702412868632601
1962-02-01,3.5425101214574983,0.9048257372654245
1962-03-01,3.9433771486349745,1.1058981233244003
1962-04-01,4.384485666104543,1.3418316001341912
1962-05-01,4.6449007068327,1.3404825737265424
1962-06-01,4.902619207521819,1.2399463806970434
1962-07-01,5.33199195171028,1.0026737967914423
1962-08-01,6.0656836461126185,1.135604542418167
1962-09-01,6.34814567323756,1.4676450967311627
1962-10-01,6.597800733088954,1.3342228152101399
1962-11-01,7.078763708873392,1.3342228152101399
1962-12-01,7.277538868673505,1.2329223592135952
1963-01-01,7.070042749095684,1.331557922769644
1963-02-01,6.744868035190632,1.2288276320159497
1963-03-01,6.841763942931256,1.1269472986410234
1963-04-01,6.97899838449112,0.893743793445867
1963-05-01,7.2370537150209024,0.8928571428571619
1963-06-01,7.3943661971831,1.3240648791790655
1963-07-01,7.44985673352434,1.5552614162806178
1963-08-01,7.456556082148502,1.5521796565389767
1963-09-01,7.791391768771594,0.9861932938855844
1963-10-01,8.002500781494227,1.2179065174456882
1963-11-01,7.852265673494729,1.3166556945358954
1963-12-01,7.70891150169597,1.6458196181698526
1964-01-01,7.739557739557745,1.6425755584756896
1964-02-01,7.692307692307687,1.4107611548556331
1964-03-01,7.708649468892248,1.4093739757456536
1964-04-01,7.88281485955904,1.5419947506561726
1964-05-01,7.918416316736665,1.5404785316289749
1964-06-01,8.107302533532046,1.3067624959163693
1964-07-01,8.207407407407397,1.0752688172043001
1964-08-01,8.174066451043792,0.9756097560975618
1964-09-01,8.044301952783428,1.171875
1964-10-01,8.046309696092614,1.2032520325203189
1964-11-01,8.230215827338139,1.3970110461338558
1964-12-01,8.330947609504724,1.1981865284974136
1965-01-01,8.637400228050174,1.098901098901095
1965-02-01,8.730158730158744,1.1970236169524417
1965-03-01,8.763031839954927,1.1958629605688387
1965-04-01,8.706606942889138,1.3893376413570246
1965-05-01,8.810450250138956,1.6139444803098701
1965-06-01,8.409153570443895,1.9348597226700903
1965-07-01,8.214676889375694,1.8052869116698789
1965-08-01,8.072845882033164,1.6103059581320522
1965-09-01,7.8500134879956995,1.737451737451745
1965-10-01,7.607822126975616,1.7030848329048665
1965-11-01,7.471417176282902,1.7302146747837144
1965-12-01,7.584566596194509,1.9200000000000106
1966-01-01,7.609551298871686,1.9181585677749302
1966-02-01,7.76850886339937,2.5575447570332477
1966-03-01,8.005181347150248,2.7786649632705274
1966-04-01,7.932011331444766,2.8680688336520044
1966-05-01,7.816091954022997,2.763659466327839
1966-06-01,8.036622583926768,2.4359379943056148
1966-07-01,8.173076923076916,2.754908169727699
1966-08-01,8.249496981891348,3.4865293185419866
1966-09-01,8.354177088544269,3.5736875395319334
1966-10-01,8.414239482200658,3.791469194312813
1966-11-01,8.139534883720945,3.5590551181102548
1966-12-01,8.106116433308763,3.3594976452119285
1967-01-01,7.9980492562789385,3.19949811794229
1967-02-01,7.8374455732946435,2.8678304239401653
1967-03-01,7.819621012233147,2.5481665630826544
